date,animal_id,stage,days_relative_to_stage_5,fix_experiment,max_fixation_dur,trials,fixation_delta,valid_trials
2024-07-30,R041,5.0,0,V2,0.401,,,
2024-07-30,R042,5.0,0,V1,0.4290000000000003,,,
2024-07-30,R043,5.0,0,V2,0.401,,,
2024-07-30,R045,5.0,0,V2,0.351,,,
2024-07-30,R046,5.0,0,V1,0.2770000000000002,,,
2024-07-31,R041,5.0,1,V2,0.351,5.0,-0.050000000000000044,5.0
2024-07-31,R042,6.0,1,V1,0.6200000000000004,580.0,0.19100000000000011,420.0
2024-07-31,R043,6.0,1,V2,0.6319839458413823,519.0,0.23098394584138227,517.0
2024-07-31,R045,6.0,1,V2,0.5027833333333311,355.0,0.15178333333333116,354.0
2024-07-31,R046,6.0,1,V1,0.3584000000000003,355.0,0.08140000000000008,268.0
2024-08-01,R040,5.0,0,V1,0.3340000000000002,,,
2024-08-01,R041,6.0,2,V2,0.6236600917430548,218.0,0.27266009174305483,218.0
2024-08-01,R042,7.0,2,V1,0.7817000000000006,456.0,0.16170000000000018,311.0
2024-08-01,R043,7.0,2,V2,0.8894933155080227,374.0,0.2575093696666404,374.0
2024-08-01,R044,5.0,0,V1,0.015,,,
2024-08-01,R045,6.0,2,V2,0.6545433884297586,241.0,0.15176005509642743,241.0
2024-08-01,R046,7.0,2,V1,0.4610500000000004,329.0,0.10265000000000013,213.0
2024-08-01,R047,5.0,0,V2,0.401,,,
2024-08-01,R052,5.0,0,V1,0.2510000000000001,,,
2024-08-02,R040,6.0,1,V1,0.5588000000000004,440.0,0.22480000000000022,325.0
2024-08-02,R041,6.0,3,V2,0.7949265822784858,158.0,0.17126649053543097,158.0
2024-08-02,R042,7.0,3,V1,0.8431900000000007,497.0,0.061490000000000045,358.0
2024-08-02,R043,7.0,3,V2,1.1536404522613024,398.0,0.2641471367532797,398.0
2024-08-02,R044,5.0,1,V1,0.0103,6.0,-0.004699999999999999,6.0
2024-08-02,R045,7.0,3,V2,0.8379163879598542,299.0,0.18337299953009567,299.0
2024-08-02,R046,7.0,3,V1,0.5107350000000005,306.0,0.04968500000000009,204.0
2024-08-02,R047,6.0,1,V2,0.555510396039588,202.0,0.15451039603958794,202.0
2024-08-02,R051,5.0,0,V2,0.401,,,
2024-08-02,R052,6.0,1,V1,0.4132000000000003,416.0,0.16220000000000018,241.0
2024-08-03,R040,7.0,2,V1,0.6828800000000005,362.0,0.12408000000000008,305.0
2024-08-03,R041,6.0,4,V2,0.9598521428571474,140.0,0.1649255605786616,140.0
2024-08-03,R042,7.0,4,V1,0.8422545000000006,419.0,-0.000935500000000089,307.0
2024-08-03,R043,7.0,4,V2,1.3998492957746267,355.0,0.24620884351332428,355.0
2024-08-03,R044,5.0,2,V1,0.01009,2.0,-0.00021000000000000012,2.0
2024-08-03,R045,7.0,4,V2,1.061280165289236,242.0,0.22336377732938184,242.0
2024-08-03,R046,7.0,4,V1,0.6531277500000007,327.0,0.14239275000000018,200.0
2024-08-03,R047,7.0,2,V2,0.7324400763358743,262.0,0.1769296802962863,262.0
2024-08-03,R051,6.0,1,V2,0.6008352941176365,427.0,0.19983529411763645,427.0
2024-08-03,R052,7.0,2,V1,0.5766400000000003,494.0,0.16343999999999997,271.0
2024-08-03,R055,5.0,0,V2,0.401,,,
2024-08-04,R040,7.0,3,V1,0.7930220000000004,421.0,0.11014199999999996,356.0
2024-08-04,R041,6.0,5,V2,1.0939249999999228,172.0,0.1340728571427754,172.0
2024-08-04,R042,7.0,5,V1,1.0808684116928378,466.0,0.2386139116928372,385.0
2024-08-04,R043,7.0,5,V2,1.7049396751739885,431.0,0.3050903793993618,431.0
2024-08-04,R044,5.0,3,V1,0.010042,4.0,-4.799999999999943e-05,4.0
2024-08-04,R045,7.0,5,V2,1.2354063186812825,364.0,0.1741261533920464,364.0
2024-08-04,R046,7.0,5,V1,0.6886830375000007,431.0,0.03555528750000003,331.0
2024-08-04,R047,7.0,3,V2,0.9804167785234656,298.0,0.24797670218759138,298.0
2024-08-04,R048,5.0,0,V1,0.3600000000000002,,,
2024-08-04,R051,7.0,2,V2,0.9199815068492764,440.0,0.3191462127316399,440.0
2024-08-04,R052,7.0,3,V1,0.5181120000000002,518.0,-0.058528000000000024,298.0
2024-08-04,R053,5.0,0,V2,0.401,,,
2024-08-04,R055,6.0,1,V2,0.5339524344569285,267.0,0.1329524344569285,267.0
2024-08-04,R056,5.0,0,V1,0.3560000000000002,,,
2024-08-05,R040,7.0,4,V1,0.9634187000000006,459.0,0.17039670000000018,359.0
2024-08-05,R041,7.0,6,V2,1.3157769230769312,182.0,0.2218519230770084,182.0
2024-08-05,R042,7.0,6,V1,1.2769026604088425,511.0,0.19603424871600472,418.0
2024-08-05,R043,7.0,6,V2,2.0269690607734385,361.0,0.32202938559945005,361.0
2024-08-05,R044,5.0,4,V1,0.0100144,8.0,-2.7600000000000888e-05,8.0
2024-08-05,R045,7.0,6,V2,1.3996239884392934,347.0,0.1642176697580109,347.0
2024-08-05,R046,7.0,6,V1,0.8078147337500008,349.0,0.11913169625000009,273.0
2024-08-05,R047,7.0,4,V2,1.182136792452722,106.0,0.20172001392925631,106.0
2024-08-05,R048,6.0,1,V1,0.5680000000000004,465.0,0.20800000000000018,350.0
2024-08-05,R051,7.0,3,V2,1.1762224852070502,338.0,0.2562409783577738,338.0
2024-08-05,R052,7.0,4,V1,0.6858672000000005,111.0,0.16775520000000022,70.0
2024-08-05,R053,6.0,1,V2,0.5664869565217145,276.0,0.16548695652171452,276.0
2024-08-05,R055,7.0,2,V2,0.649707046979857,297.0,0.11575461252292851,297.0
2024-08-05,R056,6.0,1,V1,0.5476000000000004,531.0,0.19160000000000021,346.0
2024-08-05,R057,5.0,0,V2,0.401,,,
2024-08-06,R040,7.0,5,V1,1.0243436140698092,379.0,0.0609249140698086,304.0
2024-08-06,R041,7.0,7,V2,1.4918778947368474,190.0,0.17610097165991623,190.0
2024-08-06,R042,7.0,7,V1,1.4550932110589008,496.0,0.1781905506500583,394.0
2024-08-06,R045,7.0,7,V2,1.6273647975077756,321.0,0.22774080906848226,321.0
2024-08-06,R046,7.0,7,V1,0.8961425236875011,263.0,0.08832778993750035,205.0
2024-08-06,R047,7.0,5,V2,1.4406741721853993,302.0,0.2585373797326773,302.0
2024-08-06,R048,7.0,2,V1,0.6882500000000006,420.0,0.12025000000000019,328.0
2024-08-06,R050,5.0,0,V1,0.3010000000000002,,,
2024-08-06,R051,7.0,4,V2,1.413805921052559,304.0,0.2375834358455089,304.0
2024-08-06,R052,7.0,5,V1,0.7896136800000008,562.0,0.10374648000000031,384.0
2024-08-06,R053,6.0,2,V2,0.7198931506849477,146.0,0.1534061941632332,146.0
2024-08-06,R054,5.0,0,V1,0.1480000000000001,,,
2024-08-06,R055,7.0,3,V2,0.8308669696969393,329.0,0.18115992271708226,329.0
2024-08-06,R056,7.0,2,V1,0.8036000000000005,465.0,0.2560000000000001,343.0
2024-08-06,R057,6.0,1,V2,0.6191390519187384,442.0,0.2181390519187384,442.0
2024-08-07,R040,7.0,6,V1,1.1593220429219129,385.0,0.13497842885210365,314.0
2024-08-07,R041,7.0,8,V2,1.7001133333333256,165.0,0.2082354385964782,165.0
2024-08-07,R042,7.0,8,V1,1.5994066899506325,430.0,0.14431347889173174,367.0
2024-08-07,R045,7.0,8,V2,1.7940294545454198,275.0,0.16666465703764421,275.0
2024-08-07,R046,7.0,8,V1,1.0971754666653446,289.0,0.20103294297784347,226.0
2024-08-07,R048,7.0,3,V1,0.7646000000000005,390.0,0.07634999999999992,274.0
2024-08-07,R049,5.0,0,V2,0.401,,,
2024-08-07,R050,6.0,1,V1,0.5192500000000003,503.0,0.2182500000000001,291.0
2024-08-07,R051,7.0,5,V2,1.6631930379746458,315.0,0.2493871169220867,315.0
2024-08-07,R052,7.0,6,V1,0.9945329960000012,473.0,0.20491931600000046,353.0
2024-08-07,R053,6.0,3,V2,0.824734883720977,216.0,0.10484173303602928,215.0
2024-08-07,R054,5.0,1,V1,0.0307,183.0,-0.1173000000000001,138.0
2024-08-07,R055,7.0,4,V2,1.0688043209876448,324.0,0.23793735129070548,324.0
2024-08-07,R056,7.0,3,V1,0.8774100000000008,386.0,0.07381000000000026,275.0
2024-08-07,R057,7.0,2,V2,0.9209815730337058,447.0,0.30184252111496734,447.0
2024-08-08,R040,7.0,7,V1,1.4251491507810274,312.0,0.26582710785911456,244.0
2024-08-08,R041,7.0,9,V2,1.863250331125836,151.0,0.16313699779251034,151.0
2024-08-08,R042,7.0,9,V1,1.7490801774080091,365.0,0.14967348745737663,271.0
2024-08-08,R045,7.0,9,V2,1.950105405405436,221.0,0.15607595086001624,221.0
2024-08-08,R046,7.0,9,V1,1.2059746636411313,311.0,0.10879919697578666,259.0
2024-08-08,R047,7.0,6,V2,0.9805216867469568,166.0,-0.46015248543844245,166.0
2024-08-08,R048,7.0,4,V1,0.9177000000000008,331.0,0.15310000000000035,229.0
2024-08-08,R050,7.0,2,V1,0.8501250000000008,422.0,0.3308750000000005,307.0
2024-08-08,R051,7.0,6,V2,1.9016954674220532,353.0,0.2385024294474074,353.0
2024-08-08,R052,7.0,7,V1,0.9263197976000008,350.0,-0.0682131984000004,262.0
2024-08-08,R053,7.0,4,V2,0.9193794520546792,146.0,0.09464456833370216,146.0
2024-08-08,R055,7.0,5,V2,1.3120800847457648,235.0,0.24327576375812,235.0
2024-08-08,R056,7.0,4,V1,0.937307500000001,291.0,0.05989750000000016,210.0
2024-08-08,R057,7.0,3,V2,1.291272727272725,353.0,0.37029115423901915,353.0
2024-08-09,R040,7.0,8,V1,1.491452428267495,410.0,0.06630327748646758,329.0
2024-08-09,R041,7.0,10,V2,2.058118686868667,198.0,0.19486835574283123,198.0
2024-08-09,R042,7.0,10,V1,1.9925846652184271,360.0,0.243504487810418,268.0
2024-08-09,R044,5.0,5,V1,0.014,7.0,0.003985600000000001,7.0
2024-08-09,R045,7.0,10,V2,2.073933797909369,287.0,0.12382839250393296,287.0
2024-08-09,R046,7.0,10,V1,1.563861645254439,436.0,0.3578869816133077,378.0
2024-08-09,R047,7.0,7,V2,1.252261655773376,459.0,0.27173996902641906,459.0
2024-08-09,R048,7.0,5,V1,0.9060050000000006,522.0,-0.011695000000000233,356.0
2024-08-09,R049,5.0,1,V2,0.4844385093168128,161.0,0.08343850931681279,161.0
2024-08-09,R050,7.0,3,V1,1.07773608121366,596.0,0.22761108121365925,399.0
2024-08-09,R051,7.0,7,V2,2.133099567099531,462.0,0.23140409967747777,462.0
2024-08-09,R052,7.0,8,V1,1.1845574691348375,438.0,0.2582376715348367,338.0
2024-08-09,R053,7.0,5,V2,1.030677397260382,146.0,0.1112979452057028,146.0
2024-08-09,R054,5.0,2,V1,0.010276,5.0,-0.020424,4.0
2024-08-09,R055,7.0,6,V2,1.63000763052205,249.0,0.31792754577628535,249.0
2024-08-09,R056,7.0,5,V1,0.9726460000000008,375.0,0.03533849999999983,292.0
2024-08-09,R057,7.0,4,V2,1.639026363636356,333.0,0.3477536363636311,333.0
2024-08-10,R040,7.0,9,V1,1.6640902929981132,353.0,0.17263786473061815,282.0
2024-08-10,R042,7.0,11,V1,2.421723979159528,380.0,0.42913931394110105,308.0
2024-08-10,R044,5.0,6,V1,0.01075,6.0,-0.003250000000000001,5.0
2024-08-10,R046,7.0,11,V1,1.7531224813327158,299.0,0.18926083607827682,279.0
2024-08-10,R047,7.0,8,V2,1.5143456692913306,254.0,0.26208401351795474,254.0
2024-08-10,R048,7.0,6,V1,0.9597537500000004,423.0,0.05374874999999979,320.0
2024-08-10,R049,6.0,2,V2,0.6582016666666409,360.0,0.1737631573498281,360.0
2024-08-10,R050,7.0,4,V1,1.0905539130894804,464.0,0.012817831875820307,409.0
2024-08-10,R052,7.0,9,V1,1.3247199617442225,407.0,0.14016249260938496,308.0
2024-08-10,R053,7.0,6,V2,1.1238545454545144,197.0,0.09317714819413236,197.0
2024-08-10,R055,7.0,7,V2,1.909519310344832,145.0,0.2795116798227819,145.0
2024-08-10,R056,7.0,6,V1,0.9665522000000007,329.0,-0.006093800000000038,237.0
2024-08-10,R057,7.0,5,V2,1.948315857605196,317.0,0.30928949396884,317.0
2024-08-11,R040,7.0,10,V1,1.916425973553128,389.0,0.25233568055501476,289.0
2024-08-11,R044,5.0,7,V1,0.0101,4.0,-0.0006499999999999995,4.0
2024-08-11,R046,7.0,12,V1,2.1091943178254007,275.0,0.3560718364926849,238.0
2024-08-11,R048,7.0,7,V1,0.9246030000000004,447.0,-0.03515075000000001,293.0
2024-08-11,R049,7.0,3,V2,0.8634250764526133,327.0,0.20522340978597242,327.0
2024-08-11,R050,7.0,5,V1,1.2069025217734386,459.0,0.11634860868395824,396.0
2024-08-11,R052,7.0,10,V1,0.9413599808721111,398.0,-0.3833599808721113,289.0
2024-08-11,R053,7.0,7,V2,1.211526923076857,182.0,0.0876723776223427,182.0
2024-08-11,R054,5.0,3,V1,0.013,5.0,0.002723999999999999,5.0
2024-08-11,R055,7.0,8,V2,2.180898555956641,277.0,0.27137924561180915,277.0
2024-08-11,R056,7.0,7,V1,1.0450030183478507,428.0,0.07845081834784995,297.0
2024-08-11,R057,7.0,6,V2,2.245394666666617,389.0,0.29707880906142115,389.0
2024-08-12,R040,7.0,11,V1,1.7975148716215403,368.0,-0.1189111019315876,264.0
2024-08-12,R044,5.0,8,V1,0.0100525,3.0,-4.749999999999893e-05,3.0
2024-08-12,R047,7.0,9,V2,1.729977887788769,303.0,0.2156322184974384,303.0
2024-08-12,R048,7.0,8,V1,0.8619221000000005,306.0,-0.06268089999999993,171.0
2024-08-12,R049,7.0,4,V2,1.069661061437696,353.0,0.20623598498508267,353.0
2024-08-12,R050,7.0,6,V1,1.4806209392705778,506.0,0.2737184174971392,436.0
2024-08-12,R052,7.0,11,V1,1.0198364593677525,400.0,0.07847647849564132,285.0
2024-08-12,R053,7.0,8,V2,1.3048572115384458,207.0,0.09333028846158875,207.0
2024-08-12,R054,5.0,4,V1,0.01,4.0,-0.002999999999999999,4.0
2024-08-12,R056,7.0,8,V1,1.113712265004185,419.0,0.06870924665633438,284.0
2024-08-13,R040,7.0,12,V1,2.253066459768178,320.0,0.4555515881466379,237.0
2024-08-13,R044,5.0,9,V1,0.01,10.0,-5.250000000000046e-05,8.0
2024-08-13,R047,7.0,10,V2,1.9295218954248392,306.0,0.19954400763607016,306.0
2024-08-13,R048,7.0,9,V1,0.8409415750000003,394.0,-0.02098052500000014,225.0
2024-08-13,R049,7.0,5,V2,1.2934086378737637,302.0,0.22374757643606769,302.0
2024-08-13,R050,7.0,7,V1,1.7418899494101796,373.0,0.2612690101396018,327.0
2024-08-13,R052,7.0,12,V1,1.1454355926906945,480.0,0.12559913332294204,371.0
2024-08-13,R053,7.0,9,V2,1.3894137614678654,218.0,0.08455654992941963,218.0
2024-08-13,R054,5.0,5,V1,0.011,2.0,0.0009999999999999992,2.0
2024-08-13,R056,7.0,9,V1,1.2778954565735896,340.0,0.16418319156940453,235.0
2024-08-14,R044,5.0,10,V1,0.011,10.0,0.0009999999999999992,9.0
2024-08-14,R048,7.0,10,V1,0.7766591025000003,393.0,-0.06428247250000008,207.0
2024-08-14,R049,7.0,6,V2,1.5261263636363491,330.0,0.23271772576258543,330.0
2024-08-14,R050,7.0,8,V1,1.6407918591461708,413.0,-0.10109809026400884,341.0
2024-08-14,R053,7.0,10,V2,1.4742380000003013,200.0,0.08482423853243581,200.0
