date,animal_id,stage,days_relative_to_stage_5,fix_experiment,max_fixation_dur,trials,fixation_delta,valid_trials
2024-08-14,R054,6.0,6,V1,0.2950000000000002,234.0,0.2840000000000002,233.0
2024-08-14,R056,7.0,10,V1,1.4428341649106906,333.0,0.164938708337101,261.0
2024-08-15,R048,7.0,11,V1,0.8913272820000004,356.0,0.11466817950000019,199.0
2024-08-15,R049,7.0,7,V2,1.7731547425473548,369.0,0.2470283789110057,369.0
2024-08-15,R050,7.0,9,V1,1.6252457421523103,215.0,-0.015546116993860437,177.0
2024-08-15,R052,7.0,13,V1,0.9887776683842008,317.0,-0.15665792430649372,236.0
2024-08-15,R053,7.0,11,V2,1.5603018433183014,217.0,0.0860638433180001,217.0
2024-08-15,R054,7.0,7,V1,0.6000000000000004,362.0,0.3050000000000002,286.0
2024-08-15,R056,7.0,11,V1,1.1844253318606888,315.0,-0.25840883305000184,243.0
2024-08-16,R044,5.0,11,V1,0.01,3.0,-0.0009999999999999992,3.0
2024-08-16,R048,7.0,12,V1,0.8899290974000005,492.0,-0.0013981845999999631,284.0
2024-08-16,R049,7.0,8,V2,1.973764473684172,304.0,0.20060973113681713,304.0
2024-08-16,R050,7.0,10,V1,1.69201751586723,223.0,0.0667717737149196,169.0
2024-08-16,R052,7.0,14,V1,0.9928443678689408,342.0,0.004066699484740033,254.0
2024-08-16,R053,7.0,12,V2,1.6298203791471166,211.0,0.06951853582881529,211.0
2024-08-16,R054,7.0,8,V1,0.6060000000000004,366.0,0.006000000000000005,305.0
2024-08-16,R056,7.0,12,V1,1.265053189127037,312.0,0.08062785726634814,241.0
2024-08-17,R044,5.0,12,V1,0.044,3.0,0.033999999999999996,3.0
2024-08-17,R047,7.0,11,V2,0.9753968085106428,246.0,-0.9541250869141964,246.0
2024-08-17,R048,7.0,13,V1,0.7104180938300004,432.0,-0.17951100357000005,278.0
2024-08-17,R049,7.0,9,V2,2.1561061433446813,293.0,0.18234166966050935,293.0
2024-08-17,R050,7.0,11,V1,1.7264249636526643,342.0,0.034407447785434364,279.0
2024-08-17,R052,7.0,15,V1,0.8277066207213645,376.0,-0.16513774714757634,311.0
2024-08-17,R053,7.0,13,V2,1.6994439560444212,273.0,0.06962357689730458,273.0
2024-08-17,R054,7.0,9,V1,0.6130000000000004,17.0,0.007000000000000006,5.0
2024-08-17,R056,7.0,13,V1,1.265062124856123,303.0,8.935729086001487e-06,245.0
2024-08-18,R044,6.0,13,V1,0.4547500000000004,257.0,0.4107500000000004,252.0
2024-08-18,R047,7.0,12,V2,1.1609646239553928,359.0,0.18556781544474998,359.0
2024-08-18,R048,7.0,14,V1,0.8503135703725007,514.0,0.13989547654250023,313.0
2024-08-18,R050,7.0,12,V1,1.7775382381957332,355.0,0.05111327454306891,321.0
2024-08-18,R052,7.0,16,V1,0.923965296577092,318.0,0.09625867585572756,241.0
2024-08-18,R053,7.0,14,V2,1.7642707446808172,188.0,0.06482678863639602,188.0
2024-08-18,R054,7.0,10,V1,0.6486000000000004,403.0,0.035599999999999965,378.0
2024-08-18,R056,7.0,14,V1,1.299303043430893,352.0,0.034240918574770074,298.0
2024-08-19,R047,7.0,13,V2,1.3529633251833355,409.0,0.19199870122794271,409.0
2024-08-19,R048,7.0,15,V1,0.8959851777793758,549.0,0.04567160740687515,331.0
2024-08-19,R050,7.0,13,V1,1.822602495960924,320.0,0.04506425776519074,266.0
2024-08-19,R052,7.0,17,V1,0.9818705020905284,337.0,0.057905205513436364,275.0
2024-08-19,R053,7.0,15,V2,1.832153389830387,236.0,0.06788264514956976,236.0
2024-08-19,R054,7.0,11,V1,0.8416400000000005,399.0,0.1930400000000001,366.0
2024-08-19,R056,7.0,15,V1,1.0480248240463597,322.0,-0.2512782193845333,264.0
2024-08-20,R047,7.0,14,V2,1.580794736842094,380.0,0.22783141165875853,380.0
2024-08-20,R048,7.0,16,V1,0.6895911066676256,432.0,-0.20639407111175023,270.0
2024-08-20,R050,7.0,14,V1,1.8353998142466952,375.0,0.012797318285771242,327.0
2024-08-20,R052,7.0,18,V1,1.0798957347034093,286.0,0.09802523261288087,212.0
2024-08-20,R053,7.0,16,V2,1.9073856209149669,306.0,0.07523223108457988,306.0
2024-08-20,R054,7.0,12,V1,1.0017447440000002,309.0,0.16010474399999974,275.0
2024-08-20,R056,7.0,16,V1,1.36448267021401,281.0,0.3164578461676504,227.0
2024-08-21,R047,7.0,15,V2,0.9189026568825748,2.0,-0.6618920799595193,2.0
2024-08-21,R048,7.0,17,V1,0.559775108667194,422.0,-0.12981599800043153,160.0
2024-08-21,R050,7.0,15,V1,1.9123774224301364,349.0,0.07697760818344124,308.0
2024-08-21,R052,7.0,19,V1,1.078685019654952,412.0,-0.001210715048457267,354.0
2024-08-21,R053,7.0,17,V2,1.9897791666670368,312.0,0.08239354575206992,312.0
2024-08-21,R054,7.0,13,V1,1.132723211811886,345.0,0.1309784678118857,302.0
2024-08-21,R056,7.0,17,V1,1.5523616121548878,355.0,0.18787894194087773,284.0
2024-08-22,R047,7.0,16,V2,1.1356507507507234,333.0,0.21674809386814864,333.0
2024-08-22,R048,7.0,18,V1,0.4948875543335972,455.0,-0.06488755433359683,187.0
2024-08-22,R050,7.0,16,V1,1.7450394001649128,311.0,-0.16733802226522365,279.0
2024-08-22,R052,7.0,20,V1,1.0207152831000716,269.0,-0.05796973655488036,225.0
2024-08-22,R053,7.0,18,V2,2.071899644128445,281.0,0.08212047746140816,281.0
2024-08-22,R054,7.0,14,V1,1.08508512181593,322.0,-0.04763808999595587,288.0
2024-08-22,R056,7.0,18,V1,1.5782326802306996,268.0,0.025871068075811854,198.0
2024-08-23,R047,7.0,17,V2,1.3474974063400298,347.0,0.21184665558930638,347.0
2024-08-23,R050,7.0,17,V1,1.411939280871521,303.0,-0.3331001192933918,277.0
2024-08-23,R052,7.0,21,V1,1.0897329337925157,262.0,0.06901765069244403,225.0
2024-08-23,R054,7.0,15,V1,0.8455425609079652,340.0,-0.23954256090796489,299.0
2024-08-23,R056,7.0,19,V1,1.7238367711654314,247.0,0.1456040909347318,195.0
2024-08-24,R047,7.0,18,V2,1.53525636363636,275.0,0.1877589572963303,275.0
2024-08-24,R048,7.0,19,V1,0.3002499970141403,529.0,-0.19463755731945692,221.0
2024-08-24,R050,7.0,18,V1,1.5960827819458392,252.0,0.1841435010743182,228.0
2024-08-24,R052,7.0,22,V1,0.7358397602755096,282.0,-0.3538931735170061,233.0
2024-08-24,R054,7.0,16,V1,1.096002760660064,372.0,0.25046019975209877,309.0
2024-08-24,R056,7.0,20,V1,1.6816840538558475,289.0,-0.04215271730958392,212.0
2024-08-25,R047,7.0,19,V2,1.735143478260872,276.0,0.1998871146245118,276.0
2024-08-25,R048,7.0,20,V1,0.5523124980591915,198.0,0.2520625010450512,111.0
2024-08-25,R050,7.0,19,V1,1.7714695748675753,321.0,0.1753867929217361,302.0
2024-08-25,R052,7.0,23,V1,0.901155784247959,143.0,0.16531602397244938,91.0
2024-08-25,R054,7.0,17,V1,1.4501842863527743,346.0,0.35418152569271033,307.0
2024-08-25,R056,7.0,21,V1,1.4298507215783058,144.0,-0.2518333322775417,97.0
2024-08-26,R047,7.0,20,V2,1.9350693009118665,329.0,0.19992582265099457,329.0
2024-08-26,R050,7.0,20,V1,1.7038357155217534,369.0,-0.06763385934582189,342.0
2024-08-26,R052,7.0,24,V1,0.8615090489735714,311.0,-0.03964673527438756,256.0
2024-08-26,R054,7.0,18,V1,1.6853421582194963,383.0,0.235157871866722,349.0
2024-08-26,R056,7.0,22,V1,1.6013973785713689,263.0,0.17154665699306304,207.0
2024-08-27,R047,7.0,21,V2,2.1582911032028447,281.0,0.2232218022909782,281.0
2024-08-27,R048,7.0,21,V1,0.696484373544394,408.0,0.1441718754852025,367.0
2024-08-27,R050,7.0,21,V1,2.1080548685767004,295.0,0.40421915305494704,261.0
2024-08-27,R052,7.0,25,V1,0.8467826916275356,290.0,-0.014726357346035779,241.0
2024-08-27,R054,7.0,19,V1,1.7461209687346293,305.0,0.06077881051513301,274.0
2024-08-27,R056,7.0,23,V1,1.8254398692882137,353.0,0.2240424907168448,235.0
2024-08-28,R048,7.0,22,V1,0.7782390614810758,359.0,0.08175468793668184,294.0
2024-08-28,R052,7.0,26,V1,0.7825870187206518,172.0,-0.06419567290688377,130.0
2024-08-28,R054,7.0,20,V1,1.9185549691641357,243.0,0.1724340004295064,214.0
2024-08-28,R056,7.0,24,V1,1.603010653496244,255.0,-0.22242921579196961,202.0
2024-08-29,R048,7.0,23,V1,0.990191249184861,396.0,0.2119521877037852,302.0
2024-08-29,R052,7.0,27,V1,0.763440264040489,215.0,-0.019146754680162803,160.0
2024-08-29,R054,7.0,21,V1,1.9417923261746373,244.0,0.023237357010501558,217.0
2024-08-29,R056,7.0,25,V1,1.5483732770169352,232.0,-0.054637376479308886,170.0
2024-08-30,R048,7.0,24,V1,0.8587147495109168,445.0,-0.13147649967394426,381.0
2024-08-30,R052,7.0,28,V1,0.7930801980303669,233.0,0.029639933989877854,189.0
2024-08-30,R054,7.0,22,V1,1.919233593637743,277.0,-0.022558732536894333,248.0
2024-08-30,R056,7.0,26,V1,1.5445682699508312,264.0,-0.0038050070661039825,204.0
2024-09-04,R048,7.0,25,V1,0.918800324657642,351.0,0.0600855751467253,272.0
2024-09-04,R052,7.0,29,V1,0.7942641584242934,268.0,0.001183960393926542,234.0
2024-09-04,R054,7.0,23,V1,2.2677721305338405,189.0,0.3485385368960976,167.0
2024-09-04,R056,7.0,27,V1,1.5328231345593435,252.0,-0.011745135391487693,175.0
2024-09-05,R048,7.0,26,V1,0.9761002434932318,405.0,0.057299918835589714,329.0
2024-09-05,R052,7.0,30,V1,0.958211326739435,223.0,0.16394716831514156,174.0
2024-09-05,R056,7.0,28,V1,1.190682228861226,296.0,-0.3421409056981175,231.0
2024-09-06,R048,7.0,27,V1,0.993325182619924,357.0,0.017224939126692207,299.0
2024-09-06,R052,7.0,31,V1,0.9519873623806332,380.0,-0.006223964358801792,337.0
2024-09-06,R056,7.0,29,V1,1.2943449383604693,316.0,0.10366270949924328,262.0
2024-09-07,R048,7.0,28,V1,1.0778371755983875,331.0,0.08451199297846357,274.0
2024-09-07,R052,7.0,32,V1,1.1058767092807822,386.0,0.153889346900149,339.0
2024-09-07,R056,7.0,30,V1,1.245702158599455,260.0,-0.048642779761014276,206.0
2024-09-08,R048,7.0,29,V1,1.18283157412294,388.0,0.1049943985245525,342.0
2024-09-08,R052,7.0,33,V1,1.1612667634665377,314.0,0.05539005418575549,261.0
2024-09-08,R056,7.0,31,V1,1.2098140044418824,246.0,-0.03588815415757263,199.0
2024-09-11,R048,7.0,30,V1,1.4176269897483285,389.0,0.23479541562538842,319.0
2024-09-11,R052,7.0,34,V1,1.2534509231064237,332.0,0.09218415963988602,278.0
2024-09-11,R056,7.0,32,V1,1.3288021321940222,242.0,0.11898812775213985,208.0
2024-09-12,R048,7.0,31,V1,1.3517191874923402,497.0,-0.06590780225598825,416.0
2024-09-12,R052,7.0,35,V1,1.3315486848108309,369.0,0.07809776170440719,312.0
2024-09-12,R056,7.0,33,V1,1.5536732191465974,342.0,0.22487108695257518,273.0
2024-09-13,R048,7.0,32,V1,1.622054174674752,86.0,0.2703349871824119,74.0
2024-09-13,R052,7.0,36,V1,1.0985259048947758,218.0,-0.23302277991605513,183.0
2024-09-13,R056,7.0,34,V1,1.6897820512117978,336.0,0.1361088320652004,279.0
2024-09-14,R048,7.0,33,V1,1.8205221791088828,361.0,0.1984680044341307,303.0
2024-09-14,R052,7.0,37,V1,1.1247978241878545,205.0,0.026271919293078705,173.0
2024-09-14,R056,7.0,35,V1,0.8529128204847193,199.0,-0.8368692307270785,153.0
2024-09-15,R048,7.0,34,V1,2.156328389846862,343.0,0.33580621073797934,295.0
2024-09-15,R052,7.0,38,V1,1.281059390543749,186.0,0.1562615663558946,145.0
2024-09-15,R056,7.0,36,V1,0.9233258974120118,210.0,0.07041307692729248,180.0
2024-09-16,R052,7.0,39,V1,1.3887759528851786,249.0,0.10771656234142957,201.0
2024-09-16,R056,7.0,37,V1,1.1072090089567266,237.0,0.18388311154471482,214.0
2024-09-17,R052,7.0,40,V1,1.4149334487497964,319.0,0.026157495864617797,259.0
2024-09-17,R056,7.0,38,V1,1.3256574049961691,333.0,0.21844839603944255,288.0
2024-09-18,R052,7.0,41,V1,1.434365440417969,260.0,0.019431991668172666,196.0
2024-09-18,R056,7.0,39,V1,1.5042125268350623,292.0,0.17855512183889322,250.0
2024-09-19,R052,7.0,42,V1,1.391281097809152,231.0,-0.043084342608816995,192.0
2024-09-20,R052,7.0,43,V1,1.39918361750555,256.0,0.007902519696397992,208.0
2024-09-20,R056,7.0,40,V1,1.6595491496208914,299.0,0.15533662278582905,248.0
2024-09-21,R052,7.0,44,V1,1.308110177391982,230.0,-0.091073440113568,183.0
2024-09-21,R056,7.0,41,V1,1.7139242636232273,273.0,0.054375114002335856,222.0
2024-09-22,R052,7.0,45,V1,1.3643061533625769,149.0,0.05619597597059478,111.0
2024-09-22,R056,7.0,42,V1,1.7211397803293471,199.0,0.007215516706119862,154.0
2024-09-23,R052,7.0,46,V1,1.6355132178220393,161.0,0.2712070644594624,112.0
2024-09-23,R056,7.0,43,V1,1.6874057211955156,296.0,-0.03373405913383154,243.0
2024-09-24,R052,7.0,47,V1,1.682390311821614,340.0,0.046877093999574626,304.0
2024-09-24,R056,7.0,44,V1,1.5395387535421103,305.0,-0.14786696765340523,218.0
2024-09-25,R052,7.0,48,V1,1.564246843023579,315.0,-0.11814346879803495,267.0
2024-09-25,R056,7.0,45,V1,1.534464506455658,272.0,-0.0050742470864524325,202.0
2024-09-26,R052,7.0,49,V1,1.3934269234881071,255.0,-0.17081991953547182,227.0
2024-09-26,R056,7.0,46,V1,1.773816026292417,199.0,0.23935151983675906,149.0
2024-09-27,R052,7.0,50,V1,1.3408767157888906,237.0,-0.05255020769921659,185.0
2024-09-27,R056,7.0,47,V1,1.677517589663106,257.0,-0.09629843662931092,215.0
2024-09-28,R052,7.0,51,V1,1.4706331430262762,249.0,0.12975642723738567,199.0
2024-09-28,R056,7.0,48,V1,1.708740548393407,218.0,0.03122295873030101,183.0
2024-09-29,R052,7.0,52,V1,1.1460029739354405,247.0,-0.32463016909083575,215.0
2024-09-29,R056,7.0,49,V1,1.136972690519225,244.0,-0.571767857874182,196.0
2024-09-30,R052,7.0,53,V1,1.360109927189144,405.0,0.21410695325370344,335.0
2024-09-30,R056,7.0,50,V1,1.1648596247418257,409.0,0.02788693422260069,364.0
2024-10-01,R052,7.0,54,V1,1.5056286534124164,439.0,0.14551872622327244,405.0
2024-10-01,R056,7.0,51,V1,1.347810712308133,408.0,0.1829510875663074,367.0
2024-10-02,R052,7.0,55,V1,1.851762367725765,312.0,0.3461337143133487,279.0
2024-10-02,R056,7.0,52,V1,1.483112164848515,377.0,0.13530145254038195,324.0
2024-10-03,R052,7.0,56,V1,2.418069581817244,301.0,0.5663072140914791,278.0
2024-10-03,R056,7.0,53,V1,1.8553378351418783,328.0,0.3722256702933633,274.0
2024-10-04,R056,7.0,54,V1,2.000134524682518,361.0,0.14479668954063962,295.0
