animal_id,fix_experiment,stage,date,hits
R040,V1,9.0,2024-08-14,0.9457831325301205
R040,V1,9.0,2024-08-15,0.9886363636363636
R040,V1,9.0,2024-08-16,0.9862385321100917
R040,V1,9.0,2024-08-17,1.0
R040,V1,9.0,2024-08-18,0.9896193771626297
R040,V1,10.0,2024-08-19,0.95
R040,V1,10.0,2024-08-20,1.0
R040,V1,10.0,2024-08-21,0.9847094801223242
R040,V1,10.0,2024-08-22,0.9945945945945946
R040,V1,10.0,2024-08-23,1.0
R041,V2,9.0,2024-08-11,0.9844961240310077
R041,V2,9.0,2024-08-12,0.963963963963964
R041,V2,9.0,2024-08-13,0.9861111111111112
R041,V2,9.0,2024-08-14,0.9824561403508771
R041,V2,9.0,2024-08-15,1.0
R041,V2,10.0,2024-08-16,0.9832402234636871
R041,V2,10.0,2024-08-17,0.963855421686747
R041,V2,10.0,2024-08-18,0.9825581395348837
R041,V2,10.0,2024-08-19,0.9876543209876543
R041,V2,10.0,2024-08-20,0.9827586206896551
R042,V1,9.0,2024-08-11,0.9683908045977011
R042,V1,9.0,2024-08-12,0.9841772151898734
R042,V1,9.0,2024-08-13,0.9787878787878788
R042,V1,9.0,2024-08-14,0.9956521739130435
R042,V1,9.0,2024-08-15,0.9879518072289156
R042,V1,10.0,2024-08-16,0.9908256880733946
R042,V1,10.0,2024-08-17,0.9888579387186629
R042,V1,10.0,2024-08-18,0.9919571045576407
R042,V1,10.0,2024-08-19,0.9918478260869565
R042,V1,10.0,2024-08-20,0.9709762532981531
R043,V2,9.0,2024-08-07,0.9936305732484076
R043,V2,9.0,2024-08-08,0.992
R043,V2,9.0,2024-08-09,0.9832869080779945
R043,V2,9.0,2024-08-10,0.9929078014184397
R043,V2,9.0,2024-08-11,0.9881516587677726
R043,V2,10.0,2024-08-12,1.0
R043,V2,10.0,2024-08-13,0.9858156028368794
R043,V2,10.0,2024-08-14,0.9872122762148338
R043,V2,10.0,2024-08-15,0.9906976744186047
R043,V2,10.0,2024-08-16,0.994750656167979
R045,V2,9.0,2024-08-11,0.9966887417218543
R045,V2,9.0,2024-08-12,0.9651162790697675
R045,V2,9.0,2024-08-13,0.9653979238754326
R045,V2,9.0,2024-08-14,0.9880478087649402
R045,V2,9.0,2024-08-15,0.9715639810426541
R045,V2,10.0,2024-08-16,0.9885931558935361
R045,V2,10.0,2024-08-17,0.9971181556195965
R045,V2,10.0,2024-08-18,0.9754098360655737
R045,V2,10.0,2024-08-19,0.9772727272727273
R045,V2,10.0,2024-08-20,0.9798657718120806
R046,V1,9.0,2024-08-13,0.9908675799086758
R046,V1,9.0,2024-08-14,0.9958333333333333
R046,V1,9.0,2024-08-15,0.9863636363636363
R046,V1,9.0,2024-08-16,0.9915254237288136
R046,V1,9.0,2024-08-17,0.9955555555555555
R046,V1,10.0,2024-08-18,0.976897689768977
R046,V1,10.0,2024-08-19,0.9956140350877193
R046,V1,10.0,2024-08-20,0.9777777777777777
R046,V1,10.0,2024-08-21,1.0
R046,V1,10.0,2024-08-22,0.982532751091703
R047,V2,9.0,2024-08-29,1.0
R047,V2,9.0,2024-08-30,0.9967320261437909
R047,V2,9.0,2024-09-04,0.9795081967213115
R047,V2,9.0,2024-09-05,1.0
R047,V2,9.0,2024-09-06,0.9962962962962963
R047,V2,10.0,2024-09-07,0.9896103896103896
R047,V2,10.0,2024-09-08,0.9949622166246851
R047,V2,10.0,2024-09-11,0.9928909952606635
R047,V2,10.0,2024-09-12,1.0
R047,V2,10.0,2024-09-13,0.9935064935064936
R048,V1,9.0,2024-09-16,0.9242424242424242
R048,V1,9.0,2024-09-17,0.9265175718849841
R048,V1,9.0,2024-09-18,0.9038461538461539
R048,V1,9.0,2024-09-19,0.8739130434782608
R048,V1,9.0,2024-09-20,0.9439655172413793
R048,V1,10.0,2024-09-21,0.9349112426035503
R048,V1,10.0,2024-09-22,0.9456869009584664
R048,V1,10.0,2024-09-23,0.9425981873111783
R048,V1,10.0,2024-09-24,0.9333333333333333
R048,V1,10.0,2024-09-25,0.9213483146067416
R049,V2,9.0,2024-08-19,0.9815950920245399
R049,V2,9.0,2024-08-20,0.9922178988326849
R049,V2,9.0,2024-08-21,0.9893617021276596
R049,V2,9.0,2024-08-22,0.9949748743718593
R049,V2,9.0,2024-08-23,0.9956521739130435
R049,V2,10.0,2024-08-24,0.9968051118210862
R049,V2,10.0,2024-08-25,0.9911504424778761
R049,V2,10.0,2024-08-26,0.9726775956284153
R049,V2,10.0,2024-08-27,0.9911764705882353
R049,V2,10.0,2024-08-28,0.9430379746835443
R050,V1,9.0,2024-08-28,0.98
R050,V1,9.0,2024-08-29,0.9740740740740741
R050,V1,9.0,2024-08-30,0.9762845849802372
R050,V1,9.0,2024-09-04,0.9298245614035088
R050,V1,9.0,2024-09-05,0.9764705882352941
R050,V1,10.0,2024-09-06,0.983739837398374
R050,V1,10.0,2024-09-07,0.9714285714285714
R050,V1,10.0,2024-09-08,0.9562841530054644
R050,V1,10.0,2024-09-11,0.9460154241645244
R050,V1,10.0,2024-09-12,0.964968152866242
R051,V2,9.0,2024-08-11,0.9747292418772563
R051,V2,9.0,2024-08-12,0.9969512195121951
R051,V2,9.0,2024-08-13,0.9939393939393939
R051,V2,9.0,2024-08-14,0.9863636363636363
R051,V2,10.0,2024-08-15,0.9866666666666667
R051,V2,10.0,2024-08-16,0.9742647058823529
R051,V2,10.0,2024-08-17,0.9814241486068112
R051,V2,10.0,2024-08-18,0.9777158774373259
R051,V2,10.0,2024-08-19,0.9807692307692307
R052,V1,9.0,2024-10-04,0.9897260273972602
R052,V1,9.0,2024-10-05,0.9915492957746479
R052,V1,9.0,2024-10-06,0.9907692307692307
R052,V1,9.0,2024-10-07,1.0
R052,V1,10.0,2024-10-08,0.9936708860759493
R052,V1,10.0,2024-10-09,0.9846153846153847
R052,V1,10.0,2024-10-10,0.9971264367816092
R052,V1,10.0,2024-10-11,0.996875
R052,V1,10.0,2024-10-13,0.9848484848484849
R053,V2,9.0,2024-08-24,0.9846153846153847
R053,V2,9.0,2024-08-25,0.9905660377358491
R053,V2,9.0,2024-08-26,0.9795918367346939
R053,V2,9.0,2024-08-27,0.9484536082474226
R053,V2,9.0,2024-08-28,0.9617834394904459
R053,V2,10.0,2024-08-29,0.9857142857142858
R053,V2,10.0,2024-08-30,0.9955156950672646
R053,V2,10.0,2024-09-04,0.9565217391304348
R053,V2,10.0,2024-09-05,0.9864253393665159
R053,V2,10.0,2024-09-06,0.9754901960784313
R054,V1,9.0,2024-09-05,1.0
R054,V1,9.0,2024-09-06,0.9948717948717949
R054,V1,9.0,2024-09-07,0.9941176470588236
R054,V1,9.0,2024-09-08,0.983739837398374
R054,V1,9.0,2024-09-11,1.0
R054,V1,10.0,2024-09-12,0.9886363636363636
R054,V1,10.0,2024-09-13,1.0
R054,V1,10.0,2024-09-14,1.0
R054,V1,10.0,2024-09-15,0.9958333333333333
R054,V1,10.0,2024-09-16,1.0
R055,V2,9.0,2024-08-13,0.9959016393442623
R055,V2,9.0,2024-08-14,0.9927536231884058
R055,V2,9.0,2024-08-15,0.9915966386554622
R055,V2,9.0,2024-08-16,1.0
R055,V2,9.0,2024-08-17,1.0
R055,V2,10.0,2024-08-18,1.0
R055,V2,10.0,2024-08-19,0.9892086330935251
R055,V2,10.0,2024-08-20,1.0
R055,V2,10.0,2024-08-21,0.9968051118210862
R055,V2,10.0,2024-08-23,0.9924242424242424
R056,V1,9.0,2024-10-05,0.9914893617021276
R056,V1,9.0,2024-10-06,0.9951690821256038
R056,V1,9.0,2024-10-07,0.9826086956521739
R056,V1,9.0,2024-10-08,0.9951690821256038
R056,V1,9.0,2024-10-09,1.0
R056,V1,10.0,2024-10-10,0.9922480620155039
R056,V1,10.0,2024-10-11,0.9964028776978417
R056,V1,10.0,2024-10-13,0.9962121212121212
R056,V1,10.0,2024-10-14,0.9918918918918919
R056,V1,10.0,2024-10-15,0.9906542056074766
R057,V2,9.0,2024-08-13,0.990506329113924
R057,V2,9.0,2024-08-14,0.9927272727272727
R057,V2,9.0,2024-08-15,0.9943502824858758
R057,V2,9.0,2024-08-16,0.9970059880239521
R057,V2,9.0,2024-08-17,0.996742671009772
R057,V2,10.0,2024-08-18,0.9975186104218362
R057,V2,10.0,2024-08-19,0.9815789473684211
R057,V2,10.0,2024-08-20,0.9840848806366048
R057,V2,10.0,2024-08-21,0.99375
R057,V2,10.0,2024-08-22,0.9880952380952381
